X,Y,Z,phie,vsh,kv,sw,Facies,WellID
6100.00000,7700.00000,36.37500,0.23126,0.34902,65.61340,0.38755,1.00000,2.00000
6100.00000,7700.00000,36.87500,0.23497,0.35249,63.72234,0.31053,1.00000,2.00000
9500.00000,4060.00000,63.87500,0.26943,0.22846,329.63501,0.31675,1.00000,4.00000
9500.00000,4060.00000,64.37500,0.25952,0.20399,348.20441,0.22733,1.00000,4.00000
2900.00000,3220.00000,48.75000,0.27720,0.12511,309.71299,0.63103,1.00000,5.00000
2900.00000,3220.00000,53.25000,0.20473,0.44045,13.19231,0.50442,1.00000,5.00000
2900.00000,3220.00000,54.75000,0.18393,0.47437,7.07140,0.36422,1.00000,5.00000
2900.00000,3220.00000,55.25000,0.19255,0.43251,11.59914,0.34269,1.00000,5.00000
2900.00000,3220.00000,56.25000,0.21364,0.31802,42.76321,0.13761,1.00000,5.00000
2900.00000,3220.00000,57.25000,0.21195,0.31340,59.56289,0.20100,1.00000,5.00000
2900.00000,3220.00000,57.75000,0.22129,0.29364,51.29005,0.26643,1.00000,5.00000
2900.00000,3220.00000,58.25000,0.26144,0.21761,296.27088,0.17577,1.00000,5.00000
2900.00000,3220.00000,58.75000,0.23391,0.21948,188.86224,0.32063,1.00000,5.00000
2900.00000,3220.00000,59.25000,0.23911,0.21272,220.83921,0.32018,1.00000,5.00000
2900.00000,3220.00000,60.25000,0.24313,0.22681,155.90279,0.33257,1.00000,5.00000
2900.00000,3220.00000,63.75000,0.33569,0.07852,1489.04250,0.54461,1.00000,5.00000
5900.00000,980.00000,44.00000,0.19461,0.29153,27.00889,0.43620,1.00000,6.00000
5900.00000,980.00000,44.50000,0.18539,0.36367,6.66572,0.39229,1.00000,6.00000
5900.00000,980.00000,45.00000,0.16075,0.48582,1.98990,0.40735,1.00000,6.00000
5900.00000,980.00000,45.50000,0.15821,0.52809,2.05631,0.42835,1.00000,6.00000
5900.00000,980.00000,46.00000,0.19102,0.50761,15.09065,0.32599,1.00000,6.00000
5900.00000,980.00000,46.50000,0.19417,0.43252,63.07352,0.30374,1.00000,6.00000
5900.00000,980.00000,47.00000,0.13258,0.57268,2.29823,0.30288,1.00000,6.00000
5900.00000,980.00000,47.50000,0.20581,0.45011,39.43594,0.24643,1.00000,6.00000
5900.00000,980.00000,48.00000,0.19429,0.48950,21.67240,0.28140,1.00000,6.00000
5900.00000,980.00000,48.50000,0.18706,0.40333,18.25507,0.32717,1.00000,6.00000
5900.00000,980.00000,49.00000,0.26114,0.22066,311.51749,0.24358,1.00000,6.00000
5900.00000,980.00000,49.50000,0.27181,0.20297,321.27151,0.30381,1.00000,6.00000
5900.00000,980.00000,50.00000,0.25789,0.24227,188.75945,0.36117,1.00000,6.00000
5900.00000,980.00000,50.50000,0.20147,0.32428,19.66322,0.38191,1.00000,6.00000
5900.00000,980.00000,51.00000,0.22931,0.27418,79.13147,0.30935,1.00000,6.00000
5900.00000,980.00000,51.50000,0.23029,0.29222,70.71088,0.26271,1.00000,6.00000
5900.00000,980.00000,52.00000,0.25613,0.26752,174.52745,0.24230,1.00000,6.00000
5900.00000,980.00000,52.50000,0.27581,0.25978,324.71678,0.22483,1.00000,6.00000
5900.00000,980.00000,53.00000,0.23954,0.31977,79.34347,0.27461,1.00000,6.00000
5900.00000,980.00000,53.50000,0.23374,0.27465,128.52970,0.33137,1.00000,6.00000
5900.00000,980.00000,54.00000,0.20581,0.29041,64.37551,0.63576,1.00000,6.00000
5900.00000,11620.00000,57.37500,0.16419,0.38983,2.66301,0.48666,1.00000,8.00000
5500.00000,10500.00000,77.75000,0.15089,0.42801,1.55855,0.32034,1.00000,9.00000
6700.00000,11900.00000,33.25000,0.28962,0.05939,577.00691,0.56465,1.00000,10.00000
6700.00000,11900.00000,57.75000,0.19748,0.35193,22.01401,0.38528,1.00000,10.00000
6700.00000,11900.00000,58.25000,0.21641,0.31126,42.18276,0.33524,1.00000,10.00000
